Position,q1,q21,q31,q4,q5,t1,t2,t3
0,-0.29145453710862923,0.6521088149386949,1.9537856417711914,0.8750827301775908,1.402023826497023,-2.4339273545777003,-3.1655271965897502,7.407347591862185
1,0.1554549728492193,0.7584670550133467,2.5405248608007818,0.7801961524689136,1.625661800984553,-25.047947892054413,33.751097867204415,19.21548807928666
2,0.31520309973800403,0.8281564575092109,2.5512067892595094,0.7697351730039124,1.7309750651695315,-7.049649367370894,5.12527532109346,11.424819998444864
3,0.03450887774039281,0.7343984844941382,2.397778608502947,0.8116641968511857,1.5622815909457595,-45.69133361602477,66.77187469160995,28.835127394110604
4,0.22591398558468745,0.8088197073871525,2.3932000243778044,0.8967324469596668,1.6974093569364217,-4.43222386929474,-0.37289655270196076,10.075142362057859
5,-0.21831402290127921,0.5034476269569504,2.4964174077593095,0.9489772547181247,1.449918699947614,-6.897370514612748,4.316786994730479,12.596094754491165
6,0.06088651548211399,0.7167575018060892,2.473983797948504,0.8273633742968303,1.5754674515426144,-25.966773890217418,33.357111730464915,20.094807613134776
7,-0.10217377583845869,0.5758839232921673,2.51479710722708,0.9717156072843831,1.504225284247165,-3.823907773436139,-3.0295485499452304,9.172261953560438
8,0.3230682536870581,0.9063833078241469,2.1939372306158607,0.7417626111914921,1.7197966196073808,-9.05019946502385,15.04006657952709,12.039190989289965
9,0.15810551612296792,0.8456180871791423,2.173203903717787,0.7925059548790172,1.6222228756174826,-18.819861967368343,30.436243525420036,16.551581467347514
