Position,q1,q21,q31,q4,q5,t1,t2,t3
0,-0.29869728093372494,0.6300211335876595,1.9844366290151847,1.2201750681816923,1.4432365711705812,-1.7416044757308995,-2.983364364370925,4.416536875955285
1,-0.4523896618861459,0.5882649484846584,1.8926661081433866,1.177868843247792,1.3949317502252518,-2.0598649821775563,-3.409196800616315,4.078081555907124
2,0.11887055751546477,0.8557075203744793,1.9139549399297877,0.5355187115487939,1.530093491441118,7.731924150300234,-24.59148291971309,-2.2997533931973355
3,0.07819832923933802,0.8961320696160731,1.7200407614727098,0.5861458369730024,1.5081275741709255,11.7853348965717,-35.891276201939334,-7.36523191494325
4,-0.050956254147306056,0.8372153372494598,1.7251795783292716,0.6440267789599661,1.448805619872332,14.936238729759626,-38.613326691207455,-9.242642205126536
5,-0.2115950449775561,0.8124133099234787,1.6063744114582965,0.7474092733477844,1.3914315247400293,9.535669308708753,-25.813781856950456,-6.329310283305611
6,-0.33828472372224866,0.5331544176612243,2.154137848976615,1.2583294208338445,1.436726534095642,-5.184026076146424,3.1011239544361375,7.502336840310176
7,-0.5839086472856598,0.35296712559806454,2.2382856541553147,1.1740732510623813,1.384911575488569,-7.360180563799053,7.184541431961095,9.062029833218839
8,-0.3953006792081266,0.4974877196220865,2.16663697717931,1.2264308294783188,1.4181187363487406,-5.3763227004655425,3.392585229523004,7.5750446920918515
9,0.40936430932629964,0.8736049526493014,2.489561627177392,0.8168212999821474,1.8215439391725183,-6.435987057729803,8.816433334354672,9.219718112297386
10,0.22411094334819126,0.8059781269449299,2.408617267842768,0.9012650669955047,1.6989319329024162,-7.691508800593319,7.514874973977909,9.554974882085332
11,0.16767984910582678,0.699886581997691,2.6608856312907863,0.9998567959447199,1.6866876307272665,-6.8551571565964595,3.192443586038436,8.211882786247784
12,-0.5216379799896007,0.28233682612627947,2.489301720184038,1.1678100165319703,1.3925961175550041,-5.967569469105374,4.665998387697047,8.48603891154641
13,-0.09261305071211581,0.5566738021003206,2.5196331919683645,1.1735297381434442,1.541312660253595,-3.3766146945765563,-2.285942426690824,7.215411071329942
14,0.25305708722105663,0.7768796355420967,2.5384694404730084,0.9761081564394157,1.7494770926150465,-6.128897706348997,4.069202482359185,9.179130823812296
15,0.371834384288003,1.032729624272128,1.540841858961687,0.5103596726568987,1.6678540223703235,11.629743565528575,-66.847244481142,-15.295984980404437
16,-0.24742208297150314,0.8139666629499159,1.5651191987546311,0.7765289229434512,1.3803836308894357,9.359814070092844,-25.68359515651697,-6.899949453723771
17,0.03300835276599547,0.9227526744897324,1.5832572651279224,0.6357039331465094,1.4841337813556903,16.55123542630686,-49.761987833496455,-14.008403515586313
