Position,q1,q21,q31,q4,q5,t1,t2,t3
0,-0.29145453710862923,0.6521088149386949,1.9537856417711914,0.8750827301775908,1.402023826497023,-2.4339273545777003,-3.1655271965897502,7.407347591862185
1,-0.45489606369344254,0.5853895323707902,1.8721776310263856,0.9013907150892182,1.3585110002556304,-2.5595165201780707,-2.1714929033159636,7.132786091704124
2,0.1346948135414542,0.8735071066877863,1.8843420449365709,0.5316638396364011,1.539568673703809,2.2952884451250894,-14.847189110766005,3.1362481796865604
3,0.09432938081498127,0.9122718659656662,1.6992014677849543,0.5814387050060518,1.5181369340579896,5.279183778402122,-23.49885517009239,-1.5410689985295318
4,-0.03670597611307805,0.8544036198387946,1.7058743459429613,0.6395052475932858,1.4572693782677946,7.918018885810916,-27.120203891280525,-3.2831176465278693
5,-0.19888851189516976,0.8297110556633605,1.5903993104092558,0.7436238735068931,1.3987263751965728,1.9549721527795945,-12.894121788964911,0.8581489422761919
6,-0.3374151324162066,0.5519515266942333,2.1231664387490046,1.202180146003532,1.4313264183003946,-3.360692105492142,-0.5887130621741365,9.034297815853574
7,-0.5902197349431956,0.36055229023356034,2.208426180682756,1.1540141898894831,1.3807255205571358,-3.2692784921578237,1.9451797336004089,9.981578744463217
8,-0.3952063520669244,0.5129397506921127,2.1339611153159566,1.1951444316217759,1.4143222782457825,-3.097193408091544,-0.47980192954880585,9.062354161727429
9,0.4125054378023885,0.8758856140617282,2.47361839221381,0.8065806697990029,1.8186238527419283,-3.274801056520217,-0.8428606796388267,9.515214398659765
10,0.22591398558468745,0.8088197073871525,2.3932000243778044,0.8967324469596668,1.6974093569364217,-4.43222386929474,-0.37289655270196076,10.075142362057859
11,0.16728648093367715,0.7238622035008777,2.6440721835000973,0.8173852154782558,1.6369044535485537,-5.987761848657097,-0.2705031249787271,10.310984221084555
12,-0.47196229699300585,0.20099221348555685,2.4184760178301428,2.477584191986944,0.31853728713695084,-17.31119063789894,25.29878127647025,22.72462652598089
13,-0.10217377583845869,0.5758839232921673,2.51479710722708,0.9717156072843831,1.504225284247165,-3.823907773436139,-3.0295485499452304,9.172261953560438
14,0.25323767461764096,0.7869256445081668,2.5278300389027915,0.9183572917880172,1.7283294029935492,-3.972982849912993,-2.157063130691797,9.938927524350307
15,0.3872262766885553,1.0411583152390678,1.5295306621139202,0.5072771184992333,1.6786772483442582,7.309050613604307,-51.577127876755306,-9.865538033519046
16,-0.23455211325663278,0.8312040419378478,1.5507544185479598,0.7724508708699406,1.3876973573979474,1.5563220689591961,-12.122185810243437,0.7701984142932015
17,0.048722895008488885,0.9378075931668598,1.5691507967437006,0.6301984565948279,1.4945525786849232,8.835312815833259,-34.1028870912432,-6.785226933480227
18,-0.09474508512120515,0.8845862898574991,1.559966332150439,0.7006635085376243,1.4327025049820405,9.231533007769992,-31.401709383802295,-6.955077133397069
19,-0.19920280351397357,0.8770873995810895,1.479672924799615,0.7749028915645951,1.3969442218225905,5.056831671295994,-21.4181339018888,-4.147528960984867
