Position,q1,q21,q31,q4,q5,t1,t2,t3
0,-0.2924520062178402,0.6495195602179831,1.9648715588887244,0.9950694422048256,1.1093965011615008,0.10707918547238664,-2.3981138722962423,2.7800195959783482
1,-0.4561985046551792,0.5832057203421216,1.8843308086800894,0.9957153117096091,1.027220305283226,0.16145266898611063,-1.8143328107689667,2.682186975076842
2,0.14812251558824438,0.8320310049881666,1.8862525133408667,0.9969637306514644,1.3504704617904957,0.026446374858079526,-3.384557492494986,2.4470642122600337
3,0.11809807518973355,0.8457181908079315,1.6943422168902533,0.9995467888377302,1.4235605208597308,0.01709900187427391,-5.34635354178391,0.052278630593688744
4,-0.002215394122252254,0.775589929990058,1.6952722623439052,0.9994485567114431,1.3790973568166154,0.016248613037192692,-5.3796787189558355,-0.31825336750589434
5,-0.18598537305694163,0.8013736550045072,1.596611466346865,1.0000161955458107,1.3832489413000546,0.043255668749174796,-5.6997466342004195,-0.9606740988035449
6,-0.3384953274591216,0.5542621684008191,2.1357894429018938,0.9845126626907665,0.9190629551516227,0.06476382627458614,-2.4919477030633037,2.791082984873896
7,-0.5864270360013597,0.3542881028329916,2.215073945261916,0.9587721946641499,0.4710192957572003,0.10467132054109861,-1.5345085294341376,2.82901665197073
8,-0.3947107256067194,0.513039693826553,2.145412351101529,0.9811031795208499,0.8476320279472267,0.07099762202285563,-2.2296021992332795,2.848291202205464
9,0.40695960770177114,0.8931419642559062,2.494793983485775,0.9714579743285618,1.0724513933223578,0.05979653597860174,-6.053349483391662,1.5161138066508177
10,0.22072548315700688,0.8238900678023532,2.4139839373404977,0.9766051696721891,1.0775989217979585,-0.08439465040708562,-5.727714273861878,1.5146974551144767
11,0.16555354622144647,0.7258321716812483,2.655768265901386,0.9431696803301549,0.80928318656604,-0.08715941204110149,-5.258687025053624,1.9837039941501098
12,-0.5168668565942872,0.2742422333313428,2.4683856945485076,0.912014160274108,0.12187710465338093,0.07076797661364649,-2.0198368994787073,2.5116020067317426
13,-0.09231019699069912,0.5629112863363328,2.522474261443154,0.9405275359434981,0.7318744076071011,-0.10677178215880194,-4.397469077948351,1.9648906311341707
14,0.2527028984538393,0.7905045670929289,2.54442485320435,0.9581921799204202,0.967159275547126,-0.04178647000709023,-5.623856327375854,1.6727025849751023
15,0.41678994074176046,0.8673340043728393,1.4971731202116432,1.0028507400796305,1.4529164200624765,-0.2030163695263186,-5.942626727381376,-1.3172045885386163
16,-0.22314029917922293,0.8053787482556134,1.5568997902320343,1.0004651147293517,1.388000735159893,0.04478083501678054,-5.737761687532736,-1.171307675714794
17,0.0862725388706674,0.829899213476297,1.5471127189733949,1.0015137944308308,1.4543044162501357,-0.09018801941458009,-5.820418678645909,-1.2147892090122219
18,-0.0550044467249715,0.7857599459787284,1.536598786929185,1.0013306490722123,1.4229500125354002,-0.009654133546130097,-5.569296285509768,-1.130261415821152
19,-0.17474878614734396,0.8148567848857988,1.4664302442944006,1.001914833938125,1.427339453076781,-0.04920259652053077,-5.561274284424704,-1.1751276751917556
