Position,q1,q21,q31,q4,q5,t1,t2,t3
0,-0.2924520062178402,0.6495195602179831,1.9648715588887244,0.9950694422048256,1.1093965011615008,0.10707918547238664,-2.3981138722962423,2.7800195959783482
1,0.10005122180445354,0.861830707256001,2.5753270645512605,0.9600710564859318,1.0097831324423188,0.025463735845712102,-5.933104115714171,1.614566848331396
2,0.30063801741273455,0.8617115490006747,2.5752224716090946,0.9604220835268042,1.0072046479145722,0.05091391729478741,-5.928366782540919,1.6201864481769803
3,-0.10040811102936983,0.9634720425997828,2.4756251541621803,0.9742572752854279,1.1111892028465353,0.015679506312867162,-6.334041215446287,1.4198279899603203
4,0.22072548315700688,0.8238900678023532,2.4139839373404977,0.9766051696721891,1.0775989217979585,-0.08439465040708562,-5.727714273861878,1.5146974551144767
5,-0.2205594432109642,0.5176373886577254,2.5118734968389993,0.9344624389335952,0.6490439768322586,-0.06907723670891233,-4.086825229551326,2.0374500558344777
6,9.11726375932041e-05,0.8241242403776045,2.5147470852925977,0.9613142048043161,0.9940595198972727,-0.029890387213943184,-5.772982037557113,1.5809662233121586
7,-0.09231019699069912,0.5629112863363328,2.522474261443154,0.9405275359434981,0.7318744076071011,-0.10677178215880194,-4.397469077948351,1.9648906311341707
8,0.301093740144292,0.9699297347303661,2.224108654146825,0.9921204332823074,1.2765245073984357,-0.12283058237595669,-6.227831139789409,1.1261223730922447
9,0.10037158084628946,0.9700627493303369,2.224349778254215,0.991028352842301,1.268011383330186,-0.10294790697562917,-6.251848839001998,1.0899694175390537
