Position,q1,q21,q31,q4,q5,t1,t2,t3
0,-0.2880100805471302,0.648079130483335,1.96931540092879,1.1734788319560225,1.4430439922706364,-3.6695327077792106,-1.2686475815679759,7.1095137306882465
1,0.14899208410679804,0.7497911340545198,2.5608630748782444,0.7806948832314015,1.6217102699693051,-25.05449648446843,32.26825270355268,16.805822264908716
2,0.3098982475529131,0.8248826681699185,2.56492459963469,0.7807005473083242,1.7316852318599518,-9.599576638244287,9.90605354140084,10.907635510060215
3,0.023836883979935157,0.7229793362485889,2.425206133349046,0.8101691796833271,1.5574694805576375,-49.99375253663959,72.13088406006536,29.389063859467285
4,0.22321704725045619,0.8042309540408193,2.4072571905624622,0.9044932846862986,1.6985496520747752,-5.784156550335749,2.1674534685129028,9.255791340075909
5,-0.22140177877961123,0.49409760103920025,2.5231479149148437,0.9730607462946913,1.4537908875684948,-11.775991725562406,9.783005686778008,12.668416222053706
6,0.054114243046777984,0.7068671769088318,2.4965942791853,0.8267074843479464,1.5716548285774798,-26.60687590178526,33.100914139208875,18.058414573610285
7,-0.1090396081600162,0.565699263799678,2.5397389911391848,0.9209420737948356,1.493238090678845,-4.587500227961585,-1.3441054356225743,8.502873276970728
8,0.31915088326652596,0.9018977786667887,2.2097148013700663,0.757122301114342,1.722397775551873,-9.59876482299019,16.449014103198873,10.700563980081066
9,0.142476221038263,0.8274160077558521,2.210130064420406,0.7903201109852533,1.6116417426191827,-16.175569465129644,24.047939110334227,13.616081967533514
